X (chunk coord),Z (chunk coord),Count
41,-15,37
38,-13,36
40,-12,36
39,-12,35
39,-13,35
40,-13,35
41,-11,35
47,-18,35
12,-9,34
37,-12,34
37,-13,34
38,-14,34
40,-14,34
41,-12,34
42,-12,34
42,-14,34
-44,13,34
-44,14,34
46,-18,34
47,-17,34
48,-16,34
47,-19,34
17,-11,33
-37,-12,33
38,-12,33
40,-10,33
39,-14,33
40,-11,33
40,-15,33
41,-13,33
41,-14,33
42,-11,33
44,-17,33
47,-16,33
48,-17,33
49,-17,33
50,-17,33
49,33,33
81,34,33
-83,-50,33
99,-32,33
99,-33,33
-97,-74,33
-98,-74,33
-98,-75,33
-92,90,33
-91,92,33
11,-9,32
13,-8,32
13,-9,32
15,-11,32
15,-12,32
37,-14,32
39,-10,32
39,-11,32
39,-15,32
-42,-6,32
42,-10,32
-43,-6,32
41,-16,32
-44,-6,32
44,-18,32
44,-19,32
45,-17,32
46,-16,32
49,-15,32
49,-16,32
48,-19,32
50,-16,32
-8,55,32
-7,59,32
53,27,32
-75,56,32
-76,56,32
-82,-53,32
60,81,32
64,79,32
98,-30,32
98,-31,32
98,-32,32
99,-30,32
-95,-71,32
-96,-71,32
-96,-74,32
-99,-73,32
-100,-74,32
-91,91,32
-92,91,32
14,-8,31
13,-11,31
14,-10,31
14,-11,31
15,-10,31
16,-10,31
16,-11,31
18,-11,31
-23,15,31
-23,16,31
-24,17,31
-36,-5,31
36,-14,31
36,-15,31
-17,36,31
38,-15,31
-43,-5,31
-43,-7,31
-43,-8,31
-43,-9,31
42,-13,31
-44,-7,31
42,-15,31
-44,-8,31
-44,-9,31
43,-13,31
43,-15,31
44,-14,31
46,-17,31
46,-19,31
47,-20,31
48,-18,31
49,-18,31
50,-18,31
52,-16,31
-6,58,31
49,32,31
48,34,31
48,35,31
49,34,31
-30,-55,31
-69,-33,31
81,33,31
-91,-13,31
-74,56,31
-76,58,31
-82,-50,31
-81,-53,31
-82,-52,31
-83,-52,31
60,78,31
-83,-53,31
61,78,31
-84,-54,31
60,80,31
96,-31,31
63,79,31
61,81,31
97,-31,31
61,82,31
99,-31,31
99,-34,31
99,-37,31
-63,92,31
-99,-71,31
-93,82,31
-100,-75,31
-96,84,31
-4,7,30
-5,7,30
-4,8,30
-5,10,30
10,-8,30
11,-7,30
3,14,30
12,-8,30
14,-5,30
14,-7,30
14,-9,30
12,-12,30
13,-13,30
17,-7,30
15,-13,30
16,-12,30
17,-12,30
18,-12,30
19,-11,30
-23,14,30
-29,6,30
-23,19,30
-25,20,30
-34,-14,30
34,-14,30
-34,-15,30
-35,-15,30
35,-15,30
-38,-6,30
37,-11,30
-36,-14,30
-36,-15,30
-37,-13,30
37,-15,30
-17,37,30
38,-16,30
-41,-5,30
-41,-6,30
-41,-7,30
39,-16,30
-42,-5,30
-42,-7,30
40,-16,30
40,-17,30
40,-18,30
-43,-10,30
-43,-11,30
41,-17,30
43,-12,30
42,-16,30
-45,-6,30
-43,15,30
43,-16,30
-44,15,30
44,-16,30
-45,13,30
-45,14,30
45,-14,30
45,-15,30
45,-16,30
46,-13,30
44,-20,30
45,-18,30
47,-13,30
45,-20,30
-21,45,30
48,-20,30
50,-15,30
48,-21,30
39,35,30
49,-20,30
51,-15,30
51,-16,30
50,-19,30
-6,54,30
52,-17,30
46,32,30
-12,55,30
-7,56,30
49,28,30
-8,56,30
48,30,30
-9,56,30
49,30,30
-8,57,30
50,29,30
49,31,30
51,28,30
48,33,30
51,29,30
53,26,30
-6,59,30
52,29,30
-6,60,30
-7,60,30
50,35,30
-30,-54,30
-30,-56,30
-65,-31,30
-66,-31,30
-33,-66,30
-67,-31,30
-34,-66,30
-68,-32,30
-71,-32,30
30,-75,30
-82,-14,30
-82,-15,30
-83,-15,30
80,34,30
81,32,30
82,33,30
-72,54,30
-70,57,30
-72,56,30
15,-90,30
-91,-12,30
-72,57,30
-75,53,30
-74,55,30
-75,54,30
-73,57,30
-92,-12,30
-75,55,30
-92,-14,30
-76,57,30
-77,56,30
-81,-51,30
-81,-52,30
-80,-54,30
-82,-51,30
-81,-54,30
-81,-55,30
-82,-54,30
-82,-55,30
-81,-57,30
60,79,30
-77,63,30
-81,-58,30
61,79,30
-81,-59,30
-82,-58,30
-83,-57,30
-84,-56,30
56,84,30
57,84,30
97,-30,30
-79,64,30
63,80,30
95,-38,30
98,-34,30
97,-37,30
96,-40,30
98,-36,30
-61,91,30
-62,91,30
-63,93,30
-96,-72,30
-97,-71,30
-95,-74,30
-96,-73,30
-97,-72,30
-97,-73,30
-98,-72,30
-96,-75,30
-97,-75,30
-97,-76,30
-100,-73,30
-99,-75,30
-98,-77,30
-99,-76,30
-99,-77,30
-100,-76,30
-99,-79,30
-100,-78,30
-90,90,30
-100,-79,30
-91,90,30
-90,91,30
-100,-80,30
-97,85,30
-92,92,30
-3,8,29
0,9,29
-2,11,29
5,10,29
4,11,29
9,-8,29
9,-9,29
2,13,29
10,-9,29
11,-8,29
10,-10,29
11,-10,29
14,-6,29
12,-10,29
12,-11,29
13,-10,29
15,-7,29
15,-8,29
15,-9,29
14,-12,29
17,-8,29
18,-10,29
-13,-19,29
-14,-19,29
-6,-26,29
-10,-26,29
-27,7,29
-7,-27,29
-28,7,29
-29,3,29
-23,18,29
-24,18,29
-9,-32,29
31,-13,29
33,-14,29
-35,-13,29
-34,-16,29
-37,-7,29
-36,-13,29
36,-13,29
-35,-16,29
35,-16,29
-35,-17,29
38,-10,29
-39,-6,29
38,-11,29
-39,-7,29
-36,-17,29
-37,-15,29
-38,-13,29
-40,-6,29
-40,-7,29
40,-9,29
-39,-13,29
38,-17,29
-39,-15,29
38,-18,29
-39,-16,29
41,-10,29
-40,-14,29
-11,41,29
-42,-8,29
-42,-9,29
-12,42,29
-44,-5,29
43,-11,29
41,-18,29
-44,-10,29
43,-14,29
42,-17,29
-45,-7,29
-45,-8,29
-43,16,29
44,-13,29
42,-19,29
43,-17,29
44,-15,29
-45,12,29
-44,16,29
40,25,29
43,-20,29
41,25,29
-20,44,29
45,-19,29
42,25,29
48,-15,29
-23,45,29
-21,46,29
46,-21,29
-23,46,29
-21,47,29
47,-21,29
-23,47,29
49,-19,29
39,36,29
47,25,29
42,33,29
-8,53,29
40,36,29
48,25,29
-7,54,29
-9,54,29
43,34,29
44,33,29
-6,55,29
-7,55,29
53,-17,29
-14,54,29
50,25,29
50,26,29
50,27,29
45,35,29
-16,55,29
47,33,29
-14,56,29
52,26,29
50,30,29
-8,58,29
52,27,29
-5,59,29
50,33,29
49,35,29
54,27,29
50,34,29
55,27,29
55,28,29
-29,-55,29
51,36,29
-29,-56,29
-31,-55,29
-31,-56,29
56,32,29
57,31,29
-30,-58,29
57,32,29
50,-46,29
50,-47,29
51,-47,29
-66,-29,29
-66,-30,29
-66,-32,29
-67,-32,29
-34,-67,29
-70,-32,29
-70,-33,29
-42,-68,29
31,-75,29
-81,-15,29
-81,-18,29
-82,-18,29
-83,-14,29
78,34,29
-83,-19,29
-84,-14,29
-84,-15,29
33,-79,29
-81,-28,29
-82,-27,29
80,33,29
-82,-28,29
-86,-16,29
-83,-28,29
-26,-84,29
82,32,29
15,-87,29
-72,52,29
-85,-27,29
15,-88,29
-28,-85,29
13,-89,29
-86,-27,29
15,-89,29
16,-89,29
17,-89,29
18,-89,29
-74,53,29
16,-90,29
17,-90,29
-74,54,29
-73,56,29
-91,-14,29
-92,-10,29
-92,-13,29
-92,-15,29
-74,57,29
-93,-12,29
-75,57,29
-80,-52,29
-82,-49,29
-77,57,29
-24,-93,29
-83,-49,29
89,37,29
-77,58,29
89,38,29
-80,-55,29
-84,-49,29
-83,-51,29
-84,-50,29
59,78,29
61,77,29
-84,-51,29
-81,-56,29
-85,-50,29
-83,-54,29
-82,-56,29
59,80,29
62,78,29
-82,-57,29
-80,-60,29
60,-80,29
63,78,29
-99,-17,29
96,-30,29
-82,-59,29
-83,-58,29
-100,-16,29
56,85,29
-83,-59,29
62,81,29
97,-32,29
57,85,29
-84,-59,29
59,84,29
-85,-58,29
65,80,29
64,81,29
96,-38,29
98,-33,29
97,-38,29
62,84,29
64,83,29
97,-40,29
98,-38,29
67,82,29
99,-38,29
-64,86,29
-64,87,29
-60,91,29
-62,90,29
-60,92,29
-61,92,29
-64,90,29
-63,91,29
-62,92,29
-61,93,29
-62,93,29
-61,94,29
-97,-70,29
-98,-71,29
-98,-73,29
-99,-72,29
-99,-74,29
-98,-76,29
-93,83,29
-98,-78,29
-98,-79,29
-99,-78,29
-100,-77,29
-89,91,29
-97,87,29
-94,91,29
-2,9,28
-5,8,28
-3,9,28
-4,9,28
-6,8,28
-1,10,28
1,10,28
7,-9,28
-6,11,28
4,12,28
7,-11,28
3,13,28
12,-6,28
12,-7,28
